lucode,LULC_name,C_above,C_below,C_soil,C_dead
1,BroadleafForest,170,0,0,0
2,BroadleafForest,170,0,0,0
3,Mangrove,142,0,0,0
4,InlandForestedWetland,142,0,0,0
5,InlandForestedWetland,142,0,0,0
6,PalmForest,100,0,0,0
7,ConiferousForest,100,0,0,0
8,BroadleafForest,170,0,0,0
9,Shrubland,53,0,0,0
10,Grassland,4.5,0,0,0
11,Wetland,53,0,0,0
12,BareArea,1,0,0,0
13,BeachDuneAndSand,1,0,0,0
14,Coffee,5,0,0,0
15,PermanentCropland,5,0,0,0
16,OilPalmPlantation,5,0,0,0
17,Banana,5,0,0,0
18,PermanentCropland,5,0,0,0
19,RiceField,5,0,0,0
20,Sugarcane,5,0,0,0
21,HeterogeneousAgriculturalLand,5,0,0,0
22,ArableLand,5,0,0,0
23,Pineapple,5,0,0,0
24,ArableLand,5,0,0,0
25,HeterogeneousAgriculturalLand,5,0,0,0
26,Pastureland,4.5,0,0,0
27,WaterBody,0,0,0,0
28,Urban,0,0,0,0
29,IndustrialCommercialTransport,0,0,0,0
30,MineDumpConstruction,0,0,0,0
31,OpenWater,0,0,0,0
32,MineDumpConstruction,0,0,0,0
